Row Labels,Sum of APR20,Sum of MAY20,Sum of JUN20,Sum of JUL20,Sum of AUG20,Sum of SEP20,Sum of OCT20,Sum of NOV20,Sum of DEC20,Sum of JAN21,Sum of FEB21,Sum of MAR21,Sum of APR21,Sum of MAY21,Sum of JUN21,Sum of JUL21,Sum of AUG21,Sum of SEP21,Sum of OCT21,Sum of NOV21,Sum of DEC21,Sum of JAN22,Sum of FEB22,Sum of MAR22,Sum of APR22,Sum of MAY22,Sum of JUN22,Sum of JUL22
"Aberdeen-Bel Air South-Bel Air North, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shreveport, LA",56698,58152,80719,79507,70291,82706,110155,103276,102681,93191,73578,115993,110672,97566,105978,104796,108295,108810,113951,115586,120077,146723,151377,175806,183798,186234,224490,209114
"Simi Valley, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sioux City, IA-NE-SD",25392,26266,32684,34229,33904,45770,52066,45543,45753,40589,44838,56584,52940,51243,38289,43707,43811,57311,56902,55411,49646,51379,51029,62893,54988,56568,42750,46815
"Sioux Falls, SD",21058,16325,27835,34955,37348,42629,44482,32742,32803,31757,32282,39742,38307,36745,40010,38711,36602,37200,37626,36420,35140,33576,32655,39645,36305,36163,37202,33560
"South Bend, IN-MI",41316,41123,51291,62843,68430,69926,80097,70861,69028,67483,67716,88568,85021,76095,73082,73058,86464,93306,94566,95900,87893,81675,82660,101330,103008,95135,91660,88143
"South Lyon-Howell, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spartanburg, SC",4219,4531,6155,6461,6923,7075,6989,6235,6511,6135,6368,7221,6880,7571,7810,7749,7406,7107,6906,6752,6562,5849,6342,7366,6796,6707,6606,5670
"Spokane, WA",336487,397066,479837,416056,407470,415338,449477,385243,393088,399209,383248,472646,460181,447824,452861,454195,460404,499800,541122,507874,481270,480501,497537,588490,564231,582622,568804,534970
"Spring Hill, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Springfield, IL",52914,52754,68761,83455,94744,97264,102541,88378,88729,80888,77439,90448,80118,73965,79182,79267,92006,96017,81598,90936,86112,75684,67296,90893,89119,90583,90449,
"Springfield, MA-CT",224349,255276,305404,356434,321901,343129,344151,294658,286831,279455,289720,379440,390710,361726,346471,352144,386758,683882,679770,570741,479892,373054,547784,642085,641957,467561,403067,
"Springfield, MO",28617,35053,56263,62217,63222,65062,66853,59300,62599,61461,53806,66508,62282,68849,68526,70736,71992,74808,75053,75669,75636,66580,58474,78224,74996,77893,82359,79937
"Springfield, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Augustine, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Cloud, MN",32117,35593,44265,53858,64681,67198,70561,65304,65273,57434,55546,69616,67813,63705,65557,64408,69865,71727,63473,58125,55352,53044,55144,65737,60487,59517,62515,61993
"St. Joseph, MO-KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Louis, MO-IL",1458788,1513292,1457585,1549280,1575676,1620096,1683161,1517572,1482417,1419146,1245317,1586898,1580542,1558640,1603964,1625506,1702175,1772665,1752174,1620998,1554727,1406019,1346567,1672782,1710268,1765193,1791790,99247
"State College, PA",13533,14579,24953,33782,45276,79219,82919,66526,28300,34791,63734,106141,102206,54443,50662,54652,206391,508937,474564,354556,210471,377014,466639,390223,450055,107910,95784,9833
"Stockton, CA",117791,124674,141317,143030,150535,163247,173659,158045,160514,153585,156741,187014,187615,187303,192818,200391,240850,242080,235623,231323,217602,229346,229588,273878,260507,268755,254347,218770
"Sumter, SC",6714,6912,7393,7315,6505,6906,9043,7701,8765,7829,8070,9670,9683,8244,8980,7380,6921,6873,6802,6626,6589,5931,6306,7908,7260,8504,8362,
"Syracuse, NY",186792,179003,208834,256092,292885,364472,355193,287736,238742,228139,292309,362007,353135,305697,265172,268545,399124,519180,446312,511716,466887,421701,502139,591367,531512,487604,424404,277049
"Tallahassee, FL",29221,40481,48397,49123,49046,43169,110598,86494,74372,91601,76325,85955,80530,79159,105056,111644,124392,170296,132413,125077,122378,131172,133177,147124,147932,138766,143018,136415
"Tampa-St. Petersburg, FL",949566,1107385,1295862,1345601,1371224,1424268,1673228,1671980,1707175,1712195,1680752,1962207,1901085,1870556,1742884,1627781,1625925,1482406,1605550,1569634,1656232,1607859,1626522,1991661,1965454,2007782,1782131,1722065
"Terre Haute, IN",6494,8003,8450,9681,12164,13603,14102,10080,9726,9699,9773,12814,12426,9438,9504,9418,10839,12272,12223,10570,10055,9691,8740,11762,11280,9693,10153,8806
"Texarkana-Texarkana, TX-AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Texas City, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thousand Oaks, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toledo, OH-MI",46462,52220,74765,74153,87085,92177,84074,90445,88592,86442,77662,102352,91243,92045,93968,139536,148408,179446,193306,186714,186743,161732,170115,213788,212264,222260,204137,195329
"Topeka, KS",53477,62929,76442,69125,73435,77252,85673,73564,74596,71179,46197,60015,58061,54758,59586,56782,61751,57895,67389,66526,67071,49256,58414,54606,54465,58254,64849,
"Tucson, AZ",758161,810644,839270,834595,837963,838315,1020218,971883,999863,916503,947832,1098661,1100621,1055845,1033902,1179758,1385133,1273821,1254523,1223456,1093502,1158895,1159594,1301115,1287061,1271476,1173387,1155969
"Tulsa, OK",106310,126963,130768,130707,127028,124107,122046,107426,107278,100982,78422,122574,115131,104295,111238,117050,123641,120228,122284,121024,122282,106515,97994,127793,126404,179216,210314,170899
"Turlock, CA",4544,6385,10965,11359,11535,12603,12011,8718,8786,7742,8522,8358,10759,11160,11076,13799,12434,12944,12196,11137,9957,12567,12854,17606,15479,16299,14194,
"Tuscaloosa, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uniontown-Connellsville, PA",7550,9098,12150,13341,12387,12069,12641,10862,9803,9958,9441,12062,11677,11560,13430,14017,13217,12878,13713,12971,13464,10892,11813,15538,15108,15860,16571,14594
"Urban Honolulu, HI",1834747,1858423,1881067,2249526,2066901,1933086,2223664,2148612,2398183,2369290,2244036,2597120,2707236,2872130,2904791,2935215,3046209,2875025,2942005,2924973,2870187,2877730,2825942,3201222,3148556,3154617,2946575,3026269
"Utica, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vacaville, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vallejo, CA",35313,37630,38710,38061,35017,34494,39391,32754,32506,29134,30449,36452,37834,36959,39329,41155,45121,46910,48662,44137,41640,39184,44717,54126,53185,58527,55376,51849
"Victoria, TX",11313,16514,23995,23542,23712,23032,25520,22213,21600,16915,12502,20374,20927,21714,23500,23700,27441,28395,28664,27411,27032,26654,25501,30461,30229,32226,34277,35141
"Victorville-Hesperia, CA",69704,63719,93589,95549,93767,92685,99184,83172,79337,73419,78091,90537,93618,89076,91117,97536,99171,99963,95473,89884,82182,79436,73985,90331,85433,88953,90245,84384
"Villas, NJ",,,,,,,,,,11969,10844,23594,44322,59669,83508,119168,114820,79730,56448,36486,29102,14569,19100,27734,50856,56571,84682,131608
"Vineland, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, VI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virginia Beach, VA",349592,408320,513818,572451,552199,573823,608336,527830,508028,490791,459006,555749,552800,528330,562272,597558,571935,564970,543876,500180,500942,404548,460273,535462,544850,562062,645444,632809
"Visalia, CA",45393,60942,74552,74424,70604,71074,77314,68897,69001,63609,48120,56241,59181,54652,56151,58985,67987,70987,70273,65163,59787,62497,63619,74079,69295,50910,47556,42796
"Waco, TX",18355,21210,25110,23894,34251,55159,54889,42061,29551,42801,38110,57914,50025,29274,29991,33309,55057,88267,92765,72676,48422,51360,67955,67056,64246,44634,39971,39970
"Waldorf, MD",27099,28776,34325,36313,35308,37033,40337,34385,35059,34707,29662,40093,39474,37343,39970,40635,38597,38982,40518,31885,37947,24690,33289,39754,39487,38056,42022,40883
"Washington, DC-VA-MD",3908665,4192590,6347309,7159427,7563647,9474967,10160025,9159375,8975902,7810164,7579185,9641071,10283416,11031149,13059347,14520426,14396438,16011637,16672406,15116734,14773932,11225169,12854221,17640171,17111048,17719411,18111703,16932665
"Waterbury, CT",88440,100539,120574,140425,153088,156474,138320,112694,107969,105518,93629,120206,116863,113176,121830,125188,126492,123071,122811,117775,116052,91098,97831,117984,145190,155675,175542,180116
"Waterloo, IA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wausau, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wenatchee, WA",36202,41145,51808,60850,63701,61409,67404,54484,61441,60136,59301,69835,68272,66133,70203,72678,73168,71950,74274,67614,70310,62358,69820,86168,79765,83892,91506,79433
"Westminster-Eldersburg, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wheeling, WV-OH",19776,23699,25190,24929,22542,23492,25469,20572,22147,20434,18906,24202,24178,21655,22417,23067,23057,22751,22723,21185,23411,19096,19628,23614,23344,23659,25265,23988
"Wichita, KS",44145,50239,62994,60500,63777,65847,68298,54748,56003,51903,51186,68381,69261,61742,62715,63269,84705,87701,86296,80006,75377,72431,70443,88313,88606,80188,74266,84281
"Williamsburg, VA",38004,40393,48670,54531,49539,47758,51143,46493,46029,42895,44528,55509,55795,58668,57403,56730,54204,58323,56802,53013,52251,47662,53523,64687,60998,61783,67431,66678
"Williamsport, PA",29838,37499,59509,57124,53879,54878,59044,50957,46486,51574,47061,58647,56684,51932,55617,55478,56999,54864,57321,56455,58223,50204,53473,64122,62075,59423,65173,
"Wilmington, NC",37541,39674,43815,46343,45221,53786,56616,47842,46788,43735,46192,54797,51805,45680,46499,45611,59191,66811,66626,63683,50900,51858,69690,68833,65862,52774,49064,46334
"Winchester, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Winston-Salem, NC",110179,132185,152189,157471,166368,170802,197857,181038,183721,136314,127021,147324,135742,131583,135057,133680,138869,134681,138210,129385,132663,102627,121182,140320,130191,137387,141628,135299
"Winter Haven, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Worcester, MA-CT",84283,97099,103341,164935,182685,192957,197066,175806,182396,168126,159759,211287,206960,217681,234784,254631,252545,262025,274129,265767,262635,215206,202900,288616,284635,315752,330556,324859
"Yakima, WA",40657,37684,38118,38821,39362,40402,43990,35892,33650,32384,32643,44760,43818,43112,40617,39692,42883,52020,56230,45921,46782,33896,34053,46480,40923,45139,40950,
"York, PA",59648,67137,95672,106530,108470,111922,116677,101128,89288,88945,83830,110225,104227,100604,109733,112482,117061,116160,124089,117221,115737,100308,105849,124800,119864,130414,,
"Youngstown, OH-PA",15621,27189,78150,81581,68427,81956,79948,69846,68068,69996,64598,82454,79502,68893,82183,83521,81698,86607,84691,89185,69463,89543,91754,103110,101364,104922,111844,110339
"Yuba City, CA",28281,33004,37763,30228,27772,28724,31494,26557,27836,23183,25176,30490,32877,30634,32920,32687,37344,38442,38581,36053,36451,32780,32933,44683,42543,40795,40303,33262
"Yuma, AZ-CA",15582,16265,17604,17038,19391,23779,27832,25197,26749,21184,22245,27537,30557,28648,23011,21749,25860,28597,29920,30730,28494,29282,30077,36089,33278,32493,27293,24522
Grand Total,158454438,187589852,243199850,293705450,305612719,318024315,338342104,298161977,296589340,283324669,266294867,338853750,342900254,364576795,400464403,410294357,415646817,451508329,488274904,455863934,437256869,374743718,410066478,494985269,486689000,496758330,501584562,457075696
